,tag,count
0,#웨딩,248
1,#결혼준비,224
2,#웨딩드레스,183
3,#예신,160
4,#웨딩촬영,157
5,#결혼식,132
6,#결혼,125
7,#스드메,120
8,#웨딩플래너,105
9,#연애,91
10,#사랑,84
11,#신혼부부,84
12,#웨딩,79
13,#웨딩스타그램,77
14,#신부,75
15,#웨딩사진,75
16,#신혼,74
17,#동행플래너,73
18,#웨딩스튜디오,70
19,#베리굿웨딩,70
20,#웨딩스냅,66
21,#선물,66
22,#예랑,65
23,#행복,61
24,#본식스냅,60
25,#결혼준비,60
26,#커플스타그램,57
27,#드레스,54
28,#웨딩밴드,54
29,#웨딩스타일링,52
30,#청첩장,52
31,#사랑해,51
32,#연애중,51
33,#기념일,50
34,#love,49
35,#예비신부,49
36,#weddingdress,49
37,#신혼스타그램,48
38,#부케,47
39,#예비부부,47
40,#소통해요,44
41,#달달,42
42,#결혼식,41
43,#연인,41
44,#웨딩홀,40
45,#예물,40
46,#부부스타그램,40
47,#웨딩메이크업,40
48,#부부,39
49,#본식촬영,39
